group_col,group_value,n,default_rate_true,acceptance_rate,refusal_rate,FPR,FNR
AGE_YEARS,48.62,67,0.1044776119402985,0.7164179104477612,0.2835820895522388,0.25,0.42857142857142855
AGE_YEARS,52.88,67,0.05970149253731343,0.7910447761194029,0.208955223880597,0.15873015873015872,0.0
AGE_YEARS,40.12,67,0.05970149253731343,0.6567164179104478,0.34328358208955223,0.30158730158730157,0.0
AGE_YEARS,54.88,67,0.04477611940298507,0.6865671641791045,0.31343283582089554,0.296875,0.3333333333333333
AGE_YEARS,42.38,66,0.09090909090909091,0.696969696969697,0.30303030303030304,0.2833333333333333,0.5
AGE_YEARS,38.62,66,0.09090909090909091,0.7121212121212122,0.2878787878787879,0.21666666666666667,0.0
AGE_YEARS,43.38,66,0.10606060606060606,0.7424242424242424,0.25757575757575757,0.1864406779661017,0.14285714285714285
AGE_YEARS,64.94,66,0.07575757575757576,0.8787878787878788,0.12121212121212122,0.09836065573770492,0.6
AGE_YEARS,64.2,66,0.045454545454545456,0.8484848484848485,0.15151515151515152,0.14285714285714285,0.6666666666666666
AGE_YEARS,42.12,66,0.030303030303030304,0.7121212121212122,0.2878787878787879,0.265625,0.0
AGE_YEARS,34.12,66,0.07575757575757576,0.6212121212121212,0.3787878787878788,0.3442622950819672,0.2
AGE_YEARS,60.38,66,0.045454545454545456,0.8636363636363636,0.13636363636363635,0.12698412698412698,0.6666666666666666
AGE_YEARS,60.12,66,0.015151515151515152,0.8484848484848485,0.15151515151515152,0.15384615384615385,1.0
AGE_YEARS,57.12,65,0.1076923076923077,0.8,0.2,0.15517241379310345,0.42857142857142855
AGE_YEARS,37.34,65,0.1076923076923077,0.6307692307692307,0.36923076923076925,0.3275862068965517,0.2857142857142857
AGE_YEARS,37.38,65,0.15384615384615385,0.6615384615384615,0.3384615384615385,0.2909090909090909,0.4
AGE_YEARS,36.78,65,0.03076923076923077,0.7692307692307693,0.23076923076923078,0.20634920634920634,0.0
AGE_YEARS,59.38,65,0.06153846153846154,0.8615384615384616,0.13846153846153847,0.09836065573770492,0.25
AGE_YEARS,44.38,65,0.07692307692307693,0.6461538461538462,0.35384615384615387,0.31666666666666665,0.2
AGE_YEARS,38.38,65,0.06153846153846154,0.6615384615384615,0.3384615384615385,0.29508196721311475,0.0
AGE_YEARS,44.62,65,0.06153846153846154,0.7384615384615385,0.26153846153846155,0.2459016393442623,0.5
AGE_YEARS,49.97,65,0.07692307692307693,0.6923076923076923,0.3076923076923077,0.26666666666666666,0.2
AGE_YEARS,64.9,64,0.09375,0.859375,0.140625,0.10344827586206896,0.5
AGE_YEARS,44.56,64,0.078125,0.734375,0.265625,0.2542372881355932,0.6
AGE_YEARS,45.88,64,0.09375,0.65625,0.34375,0.27586206896551724,0.0
AGE_YEARS,46.75,64,0.078125,0.796875,0.203125,0.1694915254237288,0.4
